index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
418,4,2,2,21,0,43,1,3,8,26.727,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 21 21 21 21 
419,2,8,3,3,1,46,0,5,4,20.928,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 3 3 3 3 
420,1,1,2,27,0,10,0,15,6,25.697,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 27 27 27 27 
421,4,1,5,22,1,37,1,6,3,16.251,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 22 22 22 22 
422,2,2,4,6,1,42,0,4,5,17.748,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 6 6 6 6 
423,8,8,4,4,1,8,0,3,2,17.09,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 4 4 4 4 
424,1,4,3,20,0,11,0,3,6,21.76,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 20 20 20 20 
425,4,8,6,27,1,24,0,4,9,14.32,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 27 27 27 27 
426,8,8,2,22,1,42,1,10,6,22.531,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 22 22 22 22 
427,1,4,3,26,1,9,0,6,8,24.387,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
428,2,2,2,15,1,31,1,2,7,25.352,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 15 15 15 15 
429,1,8,6,23,0,7,0,14,6,16.171,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 23 23 23 23 
430,1,1,8,29,0,4,1,4,3,15.199,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 29 29 29 29 
431,8,2,8,26,1,12,1,1,4,14.002,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
432,4,8,7,25,1,36,0,9,4,14.247,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 25 25 25 25 
433,4,4,8,26,0,49,0,3,6,14.959,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
434,4,2,8,19,0,27,0,12,5,13.694,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 19 19 19 19 
435,1,1,8,14,1,38,1,5,4,18.735,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 14 14 14 14 
436,4,2,3,11,0,44,1,1,6,18.806,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 11 11 11 11 
437,8,8,4,26,1,15,0,1,7,19.142,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
438,1,1,7,19,1,47,1,5,6,14.173,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 19 19 19 19 
439,4,4,5,19,1,20,1,14,4,14.456,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 19 19 19 19 
440,1,8,1,16,0,29,0,14,8,33.178,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
441,4,2,2,20,0,8,0,7,8,27.955,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 20 20 20 20 
442,4,8,6,15,1,8,0,7,8,21.289,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 15 15 15 15 
443,8,2,1,4,1,5,0,8,6,18.187,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 4 4 4 4 
444,4,4,8,9,0,19,1,1,5,12.778,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 9 9 9 9 
445,8,2,4,14,1,39,0,9,3,18.982,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 14 14 14 14 
446,1,8,4,19,1,41,1,15,8,20.813,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 19 19 19 19 
447,2,4,4,6,1,45,0,11,1,19.119,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 6 6 6 6 
448,8,1,1,22,1,13,1,13,1,22.951,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 22 22 22 22 
449,1,2,1,12,0,48,0,13,4,32.162,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 12 12 12 12 
450,8,4,8,26,0,9,0,9,4,15.864,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
451,8,4,1,22,1,46,0,11,4,24.344,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 22 22 22 22 
452,2,1,1,7,1,15,0,3,3,32.024,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 7 7 7 7 
453,2,8,1,15,1,40,1,11,5,33.521,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 15 15 15 15 
454,8,8,7,4,1,23,0,11,3,13.368,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 4 4 4 4 
455,4,4,8,3,1,46,1,8,2,16.574,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 3 3 3 3 
456,8,4,5,13,0,46,0,7,8,13.261,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 13 13 13 13 
457,4,2,7,22,0,17,1,8,7,13.909,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 22 22 22 22 
458,2,8,1,28,0,32,0,1,8,37.407,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
459,4,1,7,2,1,28,0,2,3,19.489,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 2 2 2 2 
460,2,8,5,23,0,44,1,14,2,15.11,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 23 23 23 23 
461,4,1,1,16,0,32,0,3,4,30.926,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
462,1,8,2,5,1,28,0,11,3,23.417,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 5 5 5 5 
463,4,1,5,12,0,13,0,13,6,13.565,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 12 12 12 12 
464,2,1,6,28,0,32,0,1,3,16.63,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
465,8,8,8,16,1,21,1,11,1,13.28,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
